"totalcurrval","livingarea","dep","size","zone","actype","bedrms","bathhalf","type"
70800,2751,38,0.14,"Other","No AC",7,"3:0","Other"
NA,3234,28,0.11,"RS3","No AC",6,"2:0","Other"
NA,4816,22,0.13,"RM1","No AC",8,"4:0","Other"
184570,3145,23,0.23,"RS1","AC",4,"3:1","Other"
NA,1108,18,0.22,"RS3","AC",3,"2:0","Colonial"
NA,2570,23,0.87,"RS1","AC",4,"3:1","Other"
NA,816,27,0.16,"RM2","No AC",3,"1:0","Other"
96810,3714,28,0.19,"RM3","No AC",6,"2:0","Other"
NA,2432,22,0.09,"RS2","No AC",4,"2:0","Colonial"
103040,1786,20,0.13,"RM3","No AC",3,"1:1","Ranch"
97060,2262,28,0.84,"RS3","No AC",3,"2:0","Other"
96220,2105,28,0.17,"RS3","No AC",3,"1:0","Colonial"
NA,2153,28,0.11,"Other","No AC",6,"2:0","Other"
111650,2430,28,0.11,"RM2","No AC",3,"3:0","Other"
70000,1757,28,0.31,"RM2","No AC",4,"2:0","Colonial"
82090,2965,28,0.18,"RS1","No AC",6,"3:0","Colonial"
NA,2102,22,0.15,"RM2","No AC",3,"1:1","Other"
NA,1391,22,0.14,"RM2","No AC",3,"2:0","Other"
262880,4809,28,0.13,"Other","No AC",8,"2:1","Colonial"
129650,4244,22,0.16,"RS2","No AC",8,"3:0","Ranch"
NA,3511,33,0.14,"RM3","No AC",6,"3:0","Ranch"
58770,624,28,0.21,"RM1","No AC",1,"1:0","Other"
NA,3067,28,0.1,"RM2","No AC",6,"3:0","Other"
NA,1381,22,0.14,"RS3","No AC",3,"1:0","Colonial"
NA,2521,22,0.09,"RS1","No AC",4,"2:0","Other"
277550,5179,28,0.27,"RM2","AC",6,"4:0","Ranch"
NA,3040,13,0.23,"RM2","No AC",4,"2:1","Colonial"
88280,996,33,0.18,"RS2","No AC",2,"1:0","Colonial"
NA,1594,22,0.17,"RS3","No AC",3,"1:0","Ranch"
NA,3168,28,0.1,"RS3","No AC",6,"3:0","Other"
534320,4836,22,0.45,"RS2","AC",8,"4:1","Colonial"
NA,3342,28,0.17,"RS1","No AC",6,"3:0","Other"
NA,1326,22,0.05,"RS2","No AC",2,"2:0","Ranch"
NA,1754,28,0.2,"RS1","No AC",5,"2:0","Colonial"
NA,1942,22,0.14,"RS1","No AC",4,"1:0","Other"
116460,4302,22,0.1,"RS1","No AC",7,"4:0","Other"
NA,3632,22,0.24,"RM2","No AC",8,"4:0","Other"
NA,874,22,0.23,"Other","No AC",2,"1:0","Other"
142070,2818,28,0.33,"RS3","No AC",4,"2:0","Other"
96580,2318,28,0.18,"RS1","No AC",4,"2:0","Other"
NA,1552,28,0.17,"RS2","No AC",3,"1:0","Other"
NA,2300,22,0.1,"RM2","No AC",8,"3:0","Other"
